,,,,,,
Campaign_ID,Channel,Date,Impressions,Clicks,Conversions,Cost
1,Email,2023-01-01,10000,200,50,500
2,Social,2023-01-01,15000,300,75,700
3,Search,2023-01-02,20000,400,100,900
4,Display,2023-01-02,12000,240,60,600
5,Email,2023-01-03,11000,220,55,550
6,Social,2023-01-03,16000,320,80,750
7,Search,2023-01-04,21000,420,105,950
8,Display,2023-01-04,13000,260,65,650
9,Email,2023-01-05,14000,280,70,700
10,Social,2023-01-05,17000,340,85,800
11,Search,2023-01-06,22000,440,110,1000
12,Display,2023-01-06,15000,300,75,750
13,Email,2023-01-07,16000,320,80,800
14,Social,2023-01-07,18000,360,90,850
15,Search,2023-01-08,23000,460,115,1050
16,Display,2023-01-08,17000,340,85,850
17,Email,2023-01-09,18000,360,90,900
18,Social,2023-01-09,19000,380,95,900
19,Search,2023-01-10,24000,480,120,1100
20,Display,2023-01-10,19000,380,95,900
21,Email,2023-01-11,13000,260,65,650
22,Social,2023-01-11,14000,280,70,700
23,Search,2023-01-12,25000,500,125,1200
24,Display,2023-01-12,16000,320,80,800
25,Email,2023-01-13,17000,340,85,850
26,Social,2023-01-13,18000,360,90,900
27,Search,2023-01-14,26000,520,130,1250
28,Display,2023-01-14,17000,340,85,850
29,Email,2023-01-15,14000,280,70,700
30,Social,2023-01-15,15000,300,75,750